merchant_id,zone,tandoor_units,deep_fry_units,steamer_units,grill_units,assembly_units,historical_speed_index
NCR_M20767,Gurgaon CyberHub,2,3,1,1,3,0.92
NCR_M20768,Faridabad,1,1,1,2,3,1.18
NCR_M20769,Connaught Place,2,1,2,1,4,0.88
NCR_M20770,Dwarka,2,1,1,2,3,1.11
NCR_M20771,Rohini,2,1,2,2,2,1.2
NCR_M20772,Rohini,1,2,1,1,2,1.11
NCR_M20773,Connaught Place,1,3,2,1,3,0.81
NCR_M20774,Noida Sector 18,1,1,2,2,4,1.01
NCR_M20775,Rohini,2,2,1,1,5,1.27
NCR_M20776,Lajpat Nagar,1,3,1,1,4,1.25
NCR_M20777,Connaught Place,3,3,1,1,2,0.87
NCR_M20778,Dwarka,2,1,2,1,3,0.76
NCR_M20779,Faridabad,1,2,2,2,5,0.95
NCR_M20780,Gurgaon CyberHub,3,1,2,1,3,0.77
NCR_M20781,Dwarka,3,3,2,2,3,0.79
NCR_M20782,Gurgaon CyberHub,2,3,2,2,4,0.83
NCR_M20783,Lajpat Nagar,1,1,1,2,4,0.7
NCR_M20784,Dwarka,3,1,1,1,4,0.75
NCR_M20785,Saket,2,2,2,2,2,0.91
NCR_M20786,Rohini,2,2,2,2,4,0.93
NCR_M20787,Connaught Place,2,3,1,2,5,0.74
NCR_M20788,Rohini,2,3,1,1,3,0.99
NCR_M20789,Faridabad,2,2,2,1,5,1.23
NCR_M20790,Lajpat Nagar,2,2,1,1,5,1.25
NCR_M20791,Rohini,2,2,1,1,2,1.08
NCR_M20792,Gurgaon CyberHub,3,1,2,2,4,0.91
NCR_M20793,Gurgaon CyberHub,1,3,2,2,5,1.13
NCR_M20794,Saket,1,2,1,2,4,1.17
NCR_M20795,Faridabad,1,1,1,1,5,1.01
NCR_M20796,Lajpat Nagar,1,2,1,2,2,0.86
NCR_M20797,Rohini,1,3,2,2,2,0.96
NCR_M20798,Rohini,2,3,2,1,4,1.05
NCR_M20799,Saket,3,2,1,1,5,1.03
NCR_M20800,Rohini,1,2,1,1,3,0.77
NCR_M20801,Connaught Place,1,2,2,1,4,0.85
NCR_M20802,Dwarka,1,3,2,2,4,1.16
NCR_M20803,Faridabad,2,1,1,2,5,0.9
NCR_M20804,Rohini,3,2,1,2,3,1.23
NCR_M20805,Dwarka,2,1,1,1,2,0.98
NCR_M20806,Rohini,2,1,2,1,5,0.85
NCR_M20807,Connaught Place,1,2,1,2,2,0.81
NCR_M20808,Noida Sector 18,1,2,2,2,4,0.72
NCR_M20809,Gurgaon CyberHub,1,3,2,2,5,0.94
NCR_M20810,Connaught Place,2,1,1,1,2,1.13
NCR_M20811,Rohini,1,1,2,2,2,1.18
NCR_M20812,Faridabad,2,2,2,2,5,1.09
NCR_M20813,Connaught Place,2,1,1,1,2,0.7
NCR_M20814,Saket,1,2,1,2,4,0.75
NCR_M20815,Lajpat Nagar,2,2,1,1,4,1.17
NCR_M20816,Lajpat Nagar,3,3,1,2,2,1.19
NCR_M20817,Connaught Place,3,3,1,1,5,0.79
NCR_M20818,Gurgaon CyberHub,2,2,2,2,5,0.84
NCR_M20819,Faridabad,2,3,1,1,2,0.88
NCR_M20820,Faridabad,3,3,2,2,2,1.01
NCR_M20821,Saket,1,2,2,2,4,1.19
NCR_M20822,Gurgaon CyberHub,1,1,2,2,5,1.16
NCR_M20823,Faridabad,2,2,2,1,3,1.06
NCR_M20824,Saket,3,1,2,2,3,1.22
NCR_M20825,Rohini,2,2,1,2,4,1.01
NCR_M20826,Saket,1,3,2,2,3,0.77
NCR_M20827,Noida Sector 18,1,2,1,1,5,1.23
NCR_M20828,Connaught Place,2,2,1,2,3,1.29
NCR_M20829,Gurgaon CyberHub,3,2,1,1,3,0.75
NCR_M20830,Gurgaon CyberHub,2,3,1,1,2,0.91
NCR_M20831,Rohini,2,2,1,1,3,0.97
NCR_M20832,Saket,1,3,1,1,5,1.09
NCR_M20833,Connaught Place,2,3,2,2,5,1.05
NCR_M20834,Lajpat Nagar,3,2,2,1,3,1.22
NCR_M20835,Rohini,1,3,2,2,3,1.07
NCR_M20836,Dwarka,1,1,2,1,5,1.27
NCR_M20837,Gurgaon CyberHub,3,3,2,2,5,0.91
NCR_M20838,Faridabad,2,2,2,2,4,0.79
NCR_M20839,Connaught Place,2,1,2,1,5,0.79
NCR_M20840,Faridabad,1,3,2,2,4,0.76
NCR_M20841,Connaught Place,2,2,2,1,5,1.27
NCR_M20842,Dwarka,3,1,2,2,2,1.26
NCR_M20843,Rohini,2,3,1,1,5,1.06
NCR_M20844,Faridabad,3,1,2,1,4,1.24
NCR_M20845,Noida Sector 18,3,1,1,2,5,1.28
NCR_M20846,Dwarka,3,2,2,1,5,1.01
NCR_M20847,Lajpat Nagar,2,3,2,2,4,0.8
NCR_M20848,Dwarka,2,1,2,1,5,0.86
NCR_M20849,Gurgaon CyberHub,1,3,1,1,2,1.07
NCR_M20850,Lajpat Nagar,3,3,1,1,2,1.19
NCR_M20851,Noida Sector 18,1,1,1,1,2,0.75
NCR_M20852,Saket,1,1,1,2,4,1.27
NCR_M20853,Connaught Place,3,1,1,2,3,1.2
NCR_M20854,Noida Sector 18,3,1,1,2,3,1.14
NCR_M20855,Lajpat Nagar,3,1,1,1,3,0.72
NCR_M20856,Saket,3,1,1,2,4,1.19
NCR_M20857,Lajpat Nagar,1,2,1,1,2,0.78
NCR_M20858,Gurgaon CyberHub,2,2,2,2,4,0.97
NCR_M20859,Saket,3,3,2,1,3,0.89
NCR_M20860,Gurgaon CyberHub,3,1,2,1,2,0.98
NCR_M20861,Rohini,2,1,2,1,5,0.9
NCR_M20862,Lajpat Nagar,3,3,1,2,5,1.01
NCR_M20863,Rohini,2,2,1,2,4,0.75
NCR_M20864,Gurgaon CyberHub,2,1,1,2,5,0.73
NCR_M20865,Gurgaon CyberHub,2,2,1,1,3,0.77
NCR_M20866,Dwarka,2,2,2,2,5,1.01
NCR_M20867,Saket,1,3,2,2,5,0.83
NCR_M20868,Lajpat Nagar,2,3,2,1,3,1.05
NCR_M20869,Saket,3,3,2,2,2,0.83
NCR_M20870,Gurgaon CyberHub,1,2,1,1,3,1.13
NCR_M20871,Rohini,1,2,1,2,3,1.06
NCR_M20872,Rohini,2,1,1,1,5,0.89
NCR_M20873,Noida Sector 18,2,2,2,2,4,0.87
NCR_M20874,Noida Sector 18,1,2,1,1,3,1.13
NCR_M20875,Rohini,2,2,2,2,5,0.72
NCR_M20876,Rohini,1,1,2,2,3,1.19
NCR_M20877,Faridabad,3,1,2,1,4,0.88
NCR_M20878,Dwarka,1,3,2,1,3,1.15
NCR_M20879,Connaught Place,2,3,1,1,3,0.97
NCR_M20880,Saket,1,2,2,2,3,0.73
NCR_M20881,Connaught Place,3,1,2,1,3,1.17
NCR_M20882,Noida Sector 18,1,2,2,2,5,0.85
NCR_M20883,Saket,2,3,2,1,3,0.9
NCR_M20884,Noida Sector 18,2,1,1,2,4,0.73
NCR_M20885,Saket,1,1,2,2,2,0.98
NCR_M20886,Rohini,1,1,1,2,2,1.02
NCR_M20887,Lajpat Nagar,3,1,1,1,4,1.02
NCR_M20888,Noida Sector 18,3,1,1,1,4,0.8
NCR_M20889,Connaught Place,3,1,2,1,2,1.19
NCR_M20890,Dwarka,2,1,1,1,4,1.06
NCR_M20891,Rohini,1,1,2,2,2,0.82
NCR_M20892,Noida Sector 18,1,1,2,2,4,0.76
NCR_M20893,Connaught Place,2,3,2,1,2,1.27
NCR_M20894,Lajpat Nagar,3,2,1,2,3,0.8
NCR_M20895,Faridabad,2,2,1,1,2,1.18
NCR_M20896,Faridabad,2,1,2,2,2,1.04
NCR_M20897,Saket,3,3,1,2,2,0.95
NCR_M20898,Noida Sector 18,2,1,2,2,3,0.81
NCR_M20899,Gurgaon CyberHub,1,3,1,1,3,0.99
NCR_M20900,Faridabad,2,3,2,2,3,0.79
NCR_M20901,Faridabad,1,1,2,1,5,0.85
NCR_M20902,Dwarka,1,1,1,2,3,0.84
NCR_M20903,Noida Sector 18,1,2,1,1,5,1.01
NCR_M20904,Lajpat Nagar,2,2,1,1,3,0.97
NCR_M20905,Connaught Place,3,1,2,1,2,1.29
NCR_M20906,Faridabad,3,3,2,2,4,0.92
NCR_M20907,Noida Sector 18,1,1,1,1,4,0.73
NCR_M20908,Lajpat Nagar,3,2,2,1,4,1.05
NCR_M20909,Lajpat Nagar,1,3,1,1,5,0.91
NCR_M20910,Noida Sector 18,3,2,2,2,3,0.76
NCR_M20911,Saket,1,1,2,1,4,1.16
NCR_M20912,Connaught Place,2,3,1,1,2,0.8
NCR_M20913,Gurgaon CyberHub,3,1,2,2,3,0.77
NCR_M20914,Connaught Place,2,2,2,2,4,1.1
NCR_M20915,Gurgaon CyberHub,1,3,1,1,3,0.93
NCR_M20916,Rohini,3,3,2,1,4,1.1
NCR_M20917,Dwarka,3,3,1,2,4,0.76
NCR_M20918,Connaught Place,2,1,1,2,4,1.16
NCR_M20919,Lajpat Nagar,1,1,2,1,4,0.93
NCR_M20920,Saket,1,2,2,1,5,1.12
NCR_M20921,Gurgaon CyberHub,2,2,1,2,2,0.95
NCR_M20922,Saket,2,1,2,2,2,0.95
NCR_M20923,Dwarka,1,2,2,1,4,0.93
NCR_M20924,Faridabad,2,3,1,1,3,1.17
NCR_M20925,Lajpat Nagar,1,1,1,1,2,0.76
NCR_M20926,Noida Sector 18,1,2,2,2,4,0.92
NCR_M20927,Noida Sector 18,2,2,1,1,5,0.71
NCR_M20928,Faridabad,2,2,2,2,5,1.23
NCR_M20929,Rohini,3,3,2,2,4,0.75
NCR_M20930,Gurgaon CyberHub,2,3,2,1,4,1.05
NCR_M20931,Dwarka,3,3,2,1,3,0.87
NCR_M20932,Noida Sector 18,2,2,1,2,5,1.06
NCR_M20933,Saket,3,2,2,1,2,1.02
NCR_M20934,Noida Sector 18,1,1,1,2,4,0.98
NCR_M20935,Dwarka,1,1,1,1,2,0.97
NCR_M20936,Faridabad,2,3,1,1,3,1.07
NCR_M20937,Connaught Place,1,1,2,2,2,1.28
NCR_M20938,Gurgaon CyberHub,1,3,2,2,4,1.23
NCR_M20939,Rohini,3,1,1,2,5,1.01
NCR_M20940,Lajpat Nagar,2,2,2,1,5,1.13
NCR_M20941,Lajpat Nagar,1,1,2,2,2,1.07
NCR_M20942,Dwarka,3,1,1,2,3,1.28
NCR_M20943,Gurgaon CyberHub,2,2,2,1,5,1.15
NCR_M20944,Gurgaon CyberHub,1,2,2,1,2,0.98
NCR_M20945,Rohini,2,1,2,2,5,0.97
NCR_M20946,Lajpat Nagar,3,1,1,2,2,0.8
NCR_M20947,Faridabad,2,2,1,1,2,0.9
NCR_M20948,Lajpat Nagar,1,2,1,1,5,0.88
NCR_M20949,Gurgaon CyberHub,1,1,1,2,5,1.09
NCR_M20950,Noida Sector 18,1,1,2,1,4,0.73
NCR_M20951,Gurgaon CyberHub,1,1,1,2,2,0.97
NCR_M20952,Connaught Place,1,2,2,1,5,1.15
NCR_M20953,Lajpat Nagar,3,1,1,1,3,1.16
NCR_M20954,Dwarka,3,1,2,1,5,1.05
NCR_M20955,Lajpat Nagar,1,2,1,1,4,1.29
NCR_M20956,Gurgaon CyberHub,2,3,2,1,4,0.85
NCR_M20957,Lajpat Nagar,1,3,2,1,4,1.26
NCR_M20958,Noida Sector 18,1,1,1,1,4,1.17
NCR_M20959,Saket,3,1,1,2,2,0.82
NCR_M20960,Saket,3,3,2,2,5,1.08
NCR_M20961,Faridabad,2,3,2,2,3,1.01
NCR_M20962,Saket,3,1,2,2,3,1.23
NCR_M20963,Gurgaon CyberHub,2,3,1,2,5,1.18
NCR_M20964,Connaught Place,2,1,2,2,2,1.06
NCR_M20965,Gurgaon CyberHub,1,3,1,2,5,0.75
NCR_M20966,Dwarka,3,3,2,1,3,1.27
NCR_M20967,Rohini,1,1,2,2,3,1.23
NCR_M20968,Saket,1,1,2,2,3,1.02
NCR_M20969,Gurgaon CyberHub,3,2,2,2,5,0.88
NCR_M20970,Lajpat Nagar,3,1,1,1,4,1.29
NCR_M20971,Lajpat Nagar,2,3,1,1,4,1.16
NCR_M20972,Noida Sector 18,2,3,2,2,2,1.11
NCR_M20973,Lajpat Nagar,1,1,2,2,3,0.83
NCR_M20974,Faridabad,3,2,1,1,4,1.13
NCR_M20975,Gurgaon CyberHub,2,2,1,1,4,0.97
NCR_M20976,Noida Sector 18,3,2,2,2,3,0.91
NCR_M20977,Connaught Place,1,2,1,1,4,1.23
NCR_M20978,Connaught Place,2,1,1,2,4,0.84
NCR_M20979,Dwarka,1,2,1,1,5,1.06
NCR_M20980,Connaught Place,2,2,2,1,5,1.05
NCR_M20981,Connaught Place,1,1,2,1,5,0.93
NCR_M20982,Gurgaon CyberHub,2,1,1,2,5,1.01
NCR_M20983,Saket,3,1,2,2,2,1.29
NCR_M20984,Gurgaon CyberHub,3,2,1,1,3,0.74
NCR_M20985,Dwarka,3,2,2,1,2,0.86
NCR_M20986,Gurgaon CyberHub,2,2,1,2,5,0.88
NCR_M20987,Saket,3,1,2,2,2,1.06
NCR_M20988,Faridabad,2,2,2,1,4,0.84
NCR_M20989,Dwarka,2,1,1,1,5,0.83
NCR_M20990,Rohini,1,3,1,1,4,1.07
NCR_M20991,Faridabad,1,3,2,2,3,0.93
NCR_M20992,Connaught Place,3,1,2,1,2,1.26
NCR_M20993,Rohini,3,3,1,1,2,0.73
NCR_M20994,Gurgaon CyberHub,1,3,2,1,3,1.08
NCR_M20995,Saket,1,3,2,1,4,0.78
NCR_M20996,Lajpat Nagar,2,2,1,1,2,0.76
NCR_M20997,Faridabad,2,1,1,1,3,1.02
NCR_M20998,Gurgaon CyberHub,2,1,2,1,2,1.0
NCR_M20999,Gurgaon CyberHub,2,2,1,2,4,1.13
NCR_M21000,Faridabad,1,2,1,2,2,0.97
NCR_M21001,Rohini,1,3,2,1,4,1.07
NCR_M21002,Lajpat Nagar,3,1,1,2,4,1.29
NCR_M21003,Connaught Place,1,2,1,2,3,1.21
NCR_M21004,Connaught Place,1,3,1,2,5,1.13
NCR_M21005,Connaught Place,3,1,2,1,3,1.27
NCR_M21006,Dwarka,3,3,2,2,2,0.97
NCR_M21007,Noida Sector 18,3,3,2,2,5,1.12
NCR_M21008,Rohini,3,3,1,2,3,0.83
NCR_M21009,Connaught Place,1,3,2,2,5,1.24
NCR_M21010,Gurgaon CyberHub,1,1,2,1,4,1.29
NCR_M21011,Faridabad,1,2,1,1,4,0.94
NCR_M21012,Connaught Place,3,3,1,2,5,0.72
NCR_M21013,Lajpat Nagar,2,1,2,2,3,1.1
NCR_M21014,Dwarka,1,2,2,2,5,1.16
NCR_M21015,Dwarka,3,3,1,2,3,1.09
NCR_M21016,Gurgaon CyberHub,2,1,2,1,5,1.13
NCR_M21017,Connaught Place,2,1,2,2,4,0.95
NCR_M21018,Noida Sector 18,3,1,2,1,5,1.13
NCR_M21019,Lajpat Nagar,2,3,1,1,5,1.25
NCR_M21020,Noida Sector 18,3,1,2,2,5,0.7
NCR_M21021,Dwarka,3,2,1,1,4,1.17
NCR_M21022,Lajpat Nagar,1,1,1,2,2,1.1
NCR_M21023,Faridabad,3,2,1,1,4,0.86
NCR_M21024,Faridabad,2,3,2,1,4,0.98
NCR_M21025,Noida Sector 18,2,1,2,1,2,1.01
NCR_M21026,Rohini,3,1,1,1,5,1.08
NCR_M21027,Faridabad,3,3,1,1,2,0.74
NCR_M21028,Lajpat Nagar,3,2,2,1,5,1.02
NCR_M21029,Faridabad,1,1,2,2,5,0.89
NCR_M21030,Rohini,2,3,1,2,4,1.21
NCR_M21031,Dwarka,2,1,2,2,4,1.03
NCR_M21032,Faridabad,2,3,2,1,5,1.09
NCR_M21033,Gurgaon CyberHub,1,2,1,2,2,0.95
NCR_M21034,Noida Sector 18,2,3,1,1,3,0.87
NCR_M21035,Dwarka,1,1,2,2,3,0.76
NCR_M21036,Connaught Place,1,1,2,1,5,0.86
NCR_M21037,Rohini,2,1,2,1,3,0.89
NCR_M21038,Faridabad,2,3,1,2,3,0.71
NCR_M21039,Saket,3,1,2,1,4,0.99
NCR_M21040,Connaught Place,2,2,2,2,2,1.03
NCR_M21041,Connaught Place,1,3,1,1,2,1.11
NCR_M21042,Gurgaon CyberHub,2,3,1,1,4,1.26
NCR_M21043,Saket,2,2,2,1,2,1.23
NCR_M21044,Dwarka,3,2,1,2,3,1.06
NCR_M21045,Saket,1,2,2,2,4,0.74
NCR_M21046,Lajpat Nagar,3,3,2,2,5,0.7
NCR_M21047,Faridabad,2,2,2,1,5,1.18
NCR_M21048,Gurgaon CyberHub,3,2,2,1,5,1.25
NCR_M21049,Saket,2,3,1,1,5,1.11
NCR_M21050,Noida Sector 18,3,2,2,1,3,0.84
NCR_M21051,Rohini,1,3,1,1,5,1.05
NCR_M21052,Rohini,2,2,1,2,2,0.96
NCR_M21053,Gurgaon CyberHub,1,3,1,1,4,0.95
NCR_M21054,Faridabad,3,2,2,1,5,0.98
NCR_M21055,Saket,3,3,2,2,3,0.74
NCR_M21056,Connaught Place,1,3,2,2,4,1.19
NCR_M21057,Dwarka,2,3,2,1,2,1.07
NCR_M21058,Noida Sector 18,3,3,1,2,3,0.91
NCR_M21059,Gurgaon CyberHub,1,2,2,2,3,1.22
NCR_M21060,Rohini,2,3,2,2,3,0.75
NCR_M21061,Noida Sector 18,3,2,2,2,5,0.74
NCR_M21062,Connaught Place,2,3,2,1,5,1.3
NCR_M21063,Rohini,3,3,2,1,5,1.0
NCR_M21064,Noida Sector 18,1,1,2,2,2,0.91
NCR_M21065,Faridabad,1,3,1,2,4,1.18
NCR_M21066,Noida Sector 18,3,2,1,1,5,1.21
NCR_M21067,Connaught Place,3,2,2,1,2,0.99
NCR_M21068,Connaught Place,3,1,1,2,4,1.17
NCR_M21069,Gurgaon CyberHub,1,2,2,2,5,1.02
NCR_M21070,Rohini,2,3,1,2,4,1.12
NCR_M21071,Gurgaon CyberHub,3,1,2,1,3,1.22
NCR_M21072,Noida Sector 18,3,1,2,1,3,1.26
NCR_M21073,Gurgaon CyberHub,1,2,2,2,4,1.11
NCR_M21074,Saket,1,1,2,2,4,0.8
NCR_M21075,Noida Sector 18,1,1,2,1,4,1.0
NCR_M21076,Saket,2,1,2,2,3,0.95
NCR_M21077,Faridabad,1,1,1,1,3,0.9
NCR_M21078,Gurgaon CyberHub,3,3,1,1,2,1.1
NCR_M21079,Connaught Place,3,2,1,2,3,0.76
NCR_M21080,Dwarka,2,3,2,2,4,1.23
NCR_M21081,Connaught Place,3,3,1,2,5,1.02
NCR_M21082,Gurgaon CyberHub,3,1,1,1,3,0.78
NCR_M21083,Connaught Place,2,3,1,2,2,0.93
NCR_M21084,Gurgaon CyberHub,2,1,1,2,5,0.89
NCR_M21085,Connaught Place,3,2,2,1,3,0.97
NCR_M21086,Rohini,1,2,1,2,2,1.19
NCR_M21087,Dwarka,2,2,1,1,4,1.21
NCR_M21088,Faridabad,1,2,1,2,3,0.8
NCR_M21089,Noida Sector 18,1,1,1,1,5,1.01
NCR_M21090,Faridabad,2,3,1,1,3,0.82
NCR_M21091,Saket,1,1,2,2,4,0.73
NCR_M21092,Lajpat Nagar,1,2,1,2,2,1.28
NCR_M21093,Rohini,2,1,1,2,3,0.95
NCR_M21094,Rohini,3,3,2,2,2,0.89
NCR_M21095,Lajpat Nagar,3,1,2,2,3,0.86
NCR_M21096,Noida Sector 18,3,2,1,1,5,1.25
NCR_M21097,Lajpat Nagar,2,3,2,1,4,1.25
NCR_M21098,Dwarka,3,1,1,2,5,0.95
NCR_M21099,Rohini,3,3,2,1,4,0.74
NCR_M21100,Saket,3,3,1,2,4,1.22
NCR_M21101,Connaught Place,3,3,1,1,3,0.95
NCR_M21102,Faridabad,2,2,2,1,5,1.25
NCR_M21103,Dwarka,1,2,2,1,5,1.17
NCR_M21104,Dwarka,3,2,1,1,2,1.23
NCR_M21105,Rohini,1,2,1,2,4,1.02
NCR_M21106,Connaught Place,3,1,1,1,3,0.8
NCR_M21107,Dwarka,2,1,2,1,4,1.17
NCR_M21108,Saket,3,1,2,2,4,0.93
NCR_M21109,Saket,1,2,1,1,2,1.18
NCR_M21110,Dwarka,2,2,1,1,2,1.02
NCR_M21111,Saket,3,1,2,1,5,1.1
NCR_M21112,Rohini,1,3,1,2,4,0.91
NCR_M21113,Noida Sector 18,1,1,2,1,2,1.05
NCR_M21114,Saket,2,3,2,1,5,1.02
NCR_M21115,Lajpat Nagar,2,2,2,1,5,0.81
NCR_M21116,Dwarka,2,1,2,2,2,1.01
NCR_M21117,Faridabad,2,1,1,1,4,1.3
NCR_M21118,Rohini,1,3,2,1,2,1.13
NCR_M21119,Gurgaon CyberHub,1,2,1,2,4,1.09
NCR_M21120,Gurgaon CyberHub,3,1,1,2,4,1.16
NCR_M21121,Rohini,3,2,1,1,3,1.14
NCR_M21122,Connaught Place,1,3,2,2,3,0.84
NCR_M21123,Gurgaon CyberHub,3,2,2,2,5,0.87
NCR_M21124,Lajpat Nagar,1,1,1,1,4,1.18
NCR_M21125,Noida Sector 18,3,2,1,1,3,1.22
NCR_M21126,Faridabad,3,2,2,2,3,1.1
NCR_M21127,Rohini,2,1,1,2,4,0.78
NCR_M21128,Lajpat Nagar,3,1,2,2,5,0.78
NCR_M21129,Noida Sector 18,2,2,1,2,2,1.14
NCR_M21130,Lajpat Nagar,3,1,2,1,4,1.08
NCR_M21131,Gurgaon CyberHub,1,1,2,1,2,0.81
NCR_M21132,Gurgaon CyberHub,3,2,2,2,4,0.84
NCR_M21133,Dwarka,3,3,1,1,5,0.95
NCR_M21134,Gurgaon CyberHub,2,1,2,1,5,1.23
NCR_M21135,Noida Sector 18,3,3,1,2,3,0.9
NCR_M21136,Faridabad,2,3,2,2,4,1.13
NCR_M21137,Connaught Place,1,1,1,2,4,1.22
NCR_M21138,Rohini,3,3,2,1,2,1.29
NCR_M21139,Gurgaon CyberHub,2,2,1,2,3,0.92
NCR_M21140,Noida Sector 18,3,2,2,2,2,1.0
NCR_M21141,Gurgaon CyberHub,1,2,1,1,3,0.72
NCR_M21142,Saket,3,1,2,2,4,1.25
NCR_M21143,Connaught Place,1,3,2,2,3,0.78
NCR_M21144,Rohini,3,1,2,2,2,1.24
NCR_M21145,Dwarka,2,3,1,2,5,0.8
NCR_M21146,Dwarka,1,2,1,1,3,0.84
NCR_M21147,Lajpat Nagar,2,2,2,2,5,1.23
NCR_M21148,Dwarka,2,1,1,1,2,0.96
NCR_M21149,Gurgaon CyberHub,2,3,2,1,4,1.02
NCR_M21150,Noida Sector 18,3,3,1,2,5,0.76
NCR_M21151,Lajpat Nagar,2,1,1,1,2,0.98
NCR_M21152,Connaught Place,3,2,2,1,5,1.0
NCR_M21153,Rohini,3,2,2,2,3,0.74
NCR_M21154,Saket,2,1,2,2,2,1.28
NCR_M21155,Saket,3,2,2,1,3,1.11
NCR_M21156,Gurgaon CyberHub,2,3,2,2,2,1.15
NCR_M21157,Lajpat Nagar,3,2,1,1,2,1.05
NCR_M21158,Faridabad,1,1,2,2,2,0.91
NCR_M21159,Connaught Place,3,1,1,1,2,0.82
NCR_M21160,Faridabad,3,2,2,1,2,0.89
NCR_M21161,Connaught Place,3,3,2,1,2,1.25
NCR_M21162,Connaught Place,1,1,1,1,2,0.97
NCR_M21163,Faridabad,3,3,2,1,3,1.28
NCR_M21164,Gurgaon CyberHub,1,3,1,2,4,0.98
NCR_M21165,Rohini,3,1,1,2,2,1.05
NCR_M21166,Saket,3,2,1,1,4,0.74
NCR_M21167,Noida Sector 18,2,1,2,1,3,1.21
NCR_M21168,Dwarka,1,1,1,2,5,0.8
NCR_M21169,Rohini,1,3,1,1,5,1.25
NCR_M21170,Noida Sector 18,1,2,1,1,5,1.2
NCR_M21171,Saket,1,2,2,2,3,0.93
NCR_M21172,Lajpat Nagar,3,2,2,2,5,1.04
NCR_M21173,Saket,3,3,2,2,5,0.86
NCR_M21174,Connaught Place,2,2,1,1,5,1.11
NCR_M21175,Connaught Place,3,3,2,1,4,0.84
NCR_M21176,Faridabad,2,1,1,1,3,1.03
NCR_M21177,Connaught Place,1,2,1,1,3,1.04
NCR_M21178,Gurgaon CyberHub,2,1,2,2,4,1.22
NCR_M21179,Noida Sector 18,2,3,1,1,2,0.83
NCR_M21180,Lajpat Nagar,2,1,1,1,5,0.9
NCR_M21181,Noida Sector 18,1,2,1,1,3,1.05
NCR_M21182,Gurgaon CyberHub,3,2,2,2,3,1.2
NCR_M21183,Connaught Place,2,1,2,2,5,0.77
NCR_M21184,Dwarka,2,2,1,2,4,0.87
NCR_M21185,Dwarka,3,2,1,1,4,1.27
NCR_M21186,Lajpat Nagar,3,1,2,2,4,1.03
NCR_M21187,Saket,1,1,1,2,2,1.27
NCR_M21188,Gurgaon CyberHub,2,3,2,1,3,0.86
NCR_M21189,Gurgaon CyberHub,3,2,1,1,2,0.92
NCR_M21190,Saket,3,1,1,2,3,1.05
NCR_M21191,Rohini,1,1,2,2,5,1.17
NCR_M21192,Lajpat Nagar,3,1,1,2,3,1.18
NCR_M21193,Rohini,3,1,2,1,2,1.01
NCR_M21194,Rohini,2,2,2,1,5,1.04
NCR_M21195,Dwarka,2,1,2,2,5,0.98
NCR_M21196,Saket,2,3,2,1,2,0.72
NCR_M21197,Dwarka,1,2,2,2,5,1.27
NCR_M21198,Lajpat Nagar,2,3,2,1,3,1.27
NCR_M21199,Noida Sector 18,2,3,2,2,2,0.81
NCR_M21200,Noida Sector 18,1,2,1,2,5,0.89
NCR_M21201,Connaught Place,3,3,2,1,4,1.07
NCR_M21202,Rohini,2,1,2,2,2,1.08
NCR_M21203,Lajpat Nagar,2,1,2,2,3,1.09
NCR_M21204,Dwarka,3,2,2,2,3,0.78
NCR_M21205,Gurgaon CyberHub,3,3,1,1,2,0.83
NCR_M21206,Gurgaon CyberHub,2,1,1,1,4,0.97
NCR_M21207,Rohini,3,3,2,1,4,0.88
NCR_M21208,Lajpat Nagar,2,1,2,2,3,0.75
NCR_M21209,Noida Sector 18,1,2,2,1,5,0.77
NCR_M21210,Lajpat Nagar,2,2,2,1,4,1.0
NCR_M21211,Rohini,2,2,2,2,3,0.89
NCR_M21212,Faridabad,2,2,2,2,2,1.06
NCR_M21213,Saket,2,1,2,1,5,0.98
NCR_M21214,Rohini,2,1,2,2,5,0.8
NCR_M21215,Saket,1,3,2,2,2,0.76
NCR_M21216,Gurgaon CyberHub,1,2,2,1,2,1.03
NCR_M21217,Dwarka,1,1,2,1,2,0.73
NCR_M21218,Lajpat Nagar,2,3,1,2,3,0.71
NCR_M21219,Saket,2,3,2,1,4,0.72
NCR_M21220,Noida Sector 18,1,3,2,2,4,1.05
NCR_M21221,Saket,2,2,1,1,5,0.83
NCR_M21222,Gurgaon CyberHub,2,1,1,1,4,1.29
NCR_M21223,Connaught Place,3,3,2,2,4,0.78
NCR_M21224,Noida Sector 18,1,3,1,2,5,1.08
NCR_M21225,Noida Sector 18,3,1,1,1,3,1.09
NCR_M21226,Lajpat Nagar,3,2,2,1,2,0.9
NCR_M21227,Connaught Place,2,1,1,2,3,0.75
NCR_M21228,Saket,1,2,1,2,2,0.91
NCR_M21229,Rohini,3,3,2,1,5,0.87
NCR_M21230,Lajpat Nagar,1,3,1,1,5,1.1
NCR_M21231,Noida Sector 18,2,1,2,1,5,1.22
NCR_M21232,Rohini,1,1,2,1,4,0.8
NCR_M21233,Noida Sector 18,1,3,2,1,3,0.83
NCR_M21234,Saket,1,3,1,1,2,0.78
NCR_M21235,Dwarka,3,1,1,2,2,0.82
NCR_M21236,Rohini,3,2,2,2,5,0.85
NCR_M21237,Lajpat Nagar,1,1,1,1,4,0.78
NCR_M21238,Connaught Place,1,3,2,1,4,1.16
